k,lambda,alpha,fixation,stdDev,sem
2,1.1,1.1,0,0,0
2,1.1,1.5,0,0,0
2,1.1,2,0,0,0
2,1.1,5,0,0,0
2,1.1,10,0,0,0
2,1.1,20,0,0,0
2,1.1,50,0,0,0
2,1.1,100,0,0,0
2,1.1,200,0,0,0
2,1.1,500,0,0,0
2,1.5,1.1,0,0,0
2,1.5,1.5,0,0,0
2,1.5,2,0,0,0
2,1.5,5,0,0,0
2,1.5,10,0,0,0
2,1.5,20,0,0,0
2,1.5,50,0,0,0
2,1.5,100,0,0,0
2,1.5,200,0,0,0
2,1.5,500,0,0,0
2,2,1.1,0,0,0
2,2,1.5,0,0,0
2,2,2,0,0,0
2,2,5,0,0,0
2,2,10,0,0,0
2,2,20,0,0,0
2,2,50,0,0,0
2,2,100,0,0,0
2,2,200,0,0,0
2,2,500,0,0,0
2,5,1.1,0,0,0
2,5,1.5,0,0,0
2,5,2,0,0,0
2,5,5,0,0,0
2,5,10,0,0,0
2,5,20,0,0,0
2,5,50,0,0,0
2,5,100,0,0,0
2,5,200,0,0,0
2,5,500,0,0,0
2,10,1.1,0,0,0
2,10,1.5,0,0,0
2,10,2,0,0,0
2,10,5,0,0,0
2,10,10,0,0,0
2,10,20,0,0,0
2,10,50,0,0,0
2,10,100,0,0,0
2,10,200,0,0,0
2,10,500,0,0,0
2,20,1.1,0.05,0.21794494717703383,0.021794494717703384
2,20,1.5,0.01,0.09949874371066197,0.009949874371066198
2,20,2,0,0,0
2,20,5,0,0,0
2,20,10,0,0,0
2,20,20,0,0,0
2,20,50,0,0,0
2,20,100,0,0,0
2,20,200,0,0,0
2,20,500,0,0,0
2,50,1.1,0.4,0.48989794855663554,0.04898979485566356
2,50,1.5,0.21,0.4073082370883262,0.04073082370883262
2,50,2,0.08,0.2712931993250109,0.02712931993250109
2,50,5,0,0,0
2,50,10,0,0,0
2,50,20,0,0,0
2,50,50,0,0,0
2,50,100,0,0,0
2,50,200,0,0,0
2,50,500,0,0,0
2,100,1.1,0.71,0.4537620521815369,0.04537620521815369
2,100,1.5,0.63,0.48280430818293263,0.048280430818293266
2,100,2,0.45,0.49749371855331,0.049749371855331
2,100,5,0.08,0.2712931993250109,0.02712931993250109
2,100,10,0,0,0
2,100,20,0,0,0
2,100,50,0,0,0
2,100,100,0,0,0
2,100,200,0,0,0
2,100,500,0,0,0
2,200,1.1,0.88,0.32496153618543866,0.03249615361854387
2,200,1.5,0.79,0.4073082370883262,0.04073082370883262
2,200,2,0.67,0.47021271782034985,0.04702127178203498
2,200,5,0.28,0.4489988864128728,0.04489988864128728
2,200,10,0.04,0.19595917942265415,0.019595917942265416
2,200,20,0,0,0
2,200,50,0,0,0
2,200,100,0,0,0
2,200,200,0,0,0
2,200,500,0,0,0
2,500,1.1,0.97,0.17058722109231972,0.017058722109231973
2,500,1.5,0.98,0.13999999999999987,0.013999999999999988
2,500,2,0.99,0.09949874371066195,0.009949874371066194
2,500,5,0.7,0.4582575694955838,0.045825756949558386
2,500,10,0.31,0.4624932431938869,0.04624932431938869
2,500,20,0.04,0.19595917942265423,0.019595917942265423
2,500,50,0,0,0
2,500,100,0,0,0
2,500,200,0,0,0
2,500,500,0,0,0
4,1.1,1.1,0,0,0
4,1.1,1.5,0,0,0
4,1.1,2,0,0,0
4,1.1,5,0,0,0
4,1.1,10,0,0,0
4,1.1,20,0,0,0
4,1.1,50,0,0,0
4,1.1,100,0,0,0
4,1.1,200,0,0,0
4,1.1,500,0,0,0
4,1.5,1.1,0,0,0
4,1.5,1.5,0,0,0
4,1.5,2,0,0,0
4,1.5,5,0,0,0
4,1.5,10,0,0,0
4,1.5,20,0,0,0
4,1.5,50,0,0,0
4,1.5,100,0,0,0
4,1.5,200,0,0,0
4,1.5,500,0,0,0
4,2,1.1,0,0,0
4,2,1.5,0,0,0
4,2,2,0,0,0
4,2,5,0,0,0
4,2,10,0,0,0
4,2,20,0,0,0
4,2,50,0,0,0
4,2,100,0,0,0
4,2,200,0,0,0
4,2,500,0,0,0
4,5,1.1,0,0,0
4,5,1.5,0,0,0
4,5,2,0,0,0
4,5,5,0,0,0
4,5,10,0,0,0
4,5,20,0,0,0
4,5,50,0,0,0
4,5,100,0,0,0
4,5,200,0,0,0
4,5,500,0,0,0
4,10,1.1,0.01,0.09949874371066197,0.009949874371066198
4,10,1.5,0.01,0.09949874371066195,0.009949874371066194
4,10,2,0,0,0
4,10,5,0,0,0
4,10,10,0,0,0
4,10,20,0,0,0
4,10,50,0,0,0
4,10,100,0,0,0
4,10,200,0,0,0
4,10,500,0,0,0
4,20,1.1,0.3,0.4582575694955838,0.045825756949558386
4,20,1.5,0.15,0.35707142142714304,0.0357071421427143
4,20,2,0.02,0.13999999999999987,0.013999999999999988
4,20,5,0,0,0
4,20,10,0,0,0
4,20,20,0,0,0
4,20,50,0,0,0
4,20,100,0,0,0
4,20,200,0,0,0
4,20,500,0,0,0
4,50,1.1,0.86,0.34698703145794946,0.03469870314579494
4,50,1.5,0.68,0.4664761515876238,0.04664761515876238
4,50,2,0.55,0.49749371855331,0.049749371855331
4,50,5,0.04,0.19595917942265415,0.019595917942265416
4,50,10,0,0,0
4,50,20,0,0,0
4,50,50,0,0,0
4,50,100,0,0,0
4,50,200,0,0,0
4,50,500,0,0,0
4,100,1.1,0.98,0.13999999999999993,0.013999999999999993
4,100,1.5,0.96,0.19595917942265392,0.01959591794226539
4,100,2,0.79,0.4073082370883262,0.04073082370883262
4,100,5,0.4,0.4898979485566356,0.04898979485566356
4,100,10,0.05,0.2179449471770336,0.02179449471770336
4,100,20,0,0,0
4,100,50,0,0,0
4,100,100,0,0,0
4,100,200,0,0,0
4,100,500,0,0,0
4,200,1.1,0.97,0.17058722109231975,0.017058722109231976
4,200,1.5,0.98,0.13999999999999987,0.013999999999999988
4,200,2,0.95,0.21794494717703367,0.021794494717703367
